COD_IBGE;COD_SIAFI;NOME_ENTE;NOME_SIMPLIFICADO;SIGLA_UF;NOME_UF;POP_EST_2020;CAPITAL;REGIAO;IDHM;IDHM_RENDA;IDHM_EDUCACAO;IDHM_LONGEVIDADE;SITUACAO
4103503;7467;Califórnia;CALIFORNIA;PR;Paraná;8606;0;S;0,722;0,821;0,638;0,718;Aprovado
4203154;5553;Calmon;CALMON;SC;Santa Catarina;3335;0;S;0,622;0,779;0,5;0,618;Aprovado
2603405;2367;Calumbi;CALUMBI;PE;Pernambuco;5747;0;NE;0,571;0,715;0,46;0,567;Aprovado
2905602;3411;Camacan;CAMACAN;BA;Bahia;32006;0;NE;0,581;0,768;0,419;0,608;Aprovado
2905701;3413;Camaçari;CAMACARI;BA;Bahia;304302;0;NE;0,694;0,798;0,616;0,681;Aprovado
3110400;4207;Camacho;CAMACHO;MG;Minas Gerais;2869;0;SE;0,69;0,84;0,612;0,639;Aprovado
2503902;1979;Camalaú;CAMALAU;PB;Paraíba;6031;0;NE;0,567;0,77;0,431;0,549;Aprovado
2905800;3415;Camamu;CAMAMU;BA;Bahia;35382;0;NE;0,565;0,71;0,452;0,562;Aprovado
3110509;4209;Camanducaia;CAMANDUCAIA;MG;Minas Gerais;21801;0;SE;0,689;0,837;0,553;0,707;Aprovado
5002605;9049;Camapuã;CAMAPUA;MS;Mato Grosso do Sul;13693;0;CO;0,703;0,817;0,596;0,715;Aprovado
4303509;8569;Camaquã;CAMAQUA;RS;Rio Grande do Sul;66478;0;S;0,697;0,819;0,578;0,715;Aprovado
2603454;2629;Camaragibe;CAMARAGIBE;PE;Pernambuco;158899;0;NE;0,692;0,805;0,628;0,656;Aprovado
4303558;8447;Camargo;CAMARGO;RS;Rio Grande do Sul;2742;0;S;0,736;0,854;0,612;0,762;Aprovado
4103602;7469;Cambará;CAMBARA;PR;Paraná;25466;0;S;0,721;0,818;0,645;0,711;Aprovado
4303608;8571;Cambará do Sul;CAMBARA DO SUL;RS;Rio Grande do Sul;6406;0;S;0,697;0,838;0,574;0,705;Aprovado
4103701;7471;Cambé;CAMBE;PR;Paraná;107341;0;S;0,734;0,84;0,651;0,724;Aprovado
4103800;7473;Cambira;CAMBIRA;PR;Paraná;7917;0;S;0,725;0,835;0,651;0,702;Aprovado
4203204;8061;Camboriú;CAMBORIU;SC;Santa Catarina;85105;0;S;0,726;0,866;0,6;0,736;Aprovado
3300902;5817;Cambuci;CAMBUCI;RJ;Rio de Janeiro;15514;0;SE;0,691;0,809;0,608;0,672;Aprovado
