UF;MUNICIPIOS;TRANSFERIDO;SALDO_CONTA;PORCENT_SALDO;PORCENT_EXECUTADO
GO;CABECEIRAS;69246.12;70466.46;10.176.232.256.767.600;0
PI;CABECEIRAS DO PIAUI;88894.67;89489.24;10.066.884.774.981.400;0
PB;CABEDELO;489576.35;498.34;0.0010179004766059472;0.998982099523394
PE;CABO DE SANTO AGOSTINHO;1450927.74;76843.22;0.05296143831394388;0.9470385616860562
RJ;CABO FRIO;1481956.38;322045.89;0.2173113151953906;0.7826886848046094
MG;CABO VERDE;123603.31;49488.25;0.40037965002717163;0.5996203499728283
SP;CABRALIA PAULISTA;48804.5;112.64;0.0023079838949277218;0.9976920161050723
SP;CABREUVA;365326.69;85472.49;0.23396180005353565;0.7660381999464644
PE;CABROBO;267379.85;117812.16;0.4406171968456113;0.5593828031543887
SC;CACADOR;542815.83;5172.79;0.009529548907960183;0.9904704510920398
SP;CACAPAVA;660000;30258.02;0.04584548484848485;0.9541545151515152
RS;CACAPAVA DO SUL;254868.52;6676.14;0.02619444723891362;0.9738055527610864
RS;CACEQUI;103163.9;54744.22;0.5306528737281162;0.4693471262718838
MT;CACERES;640864;134548.32;0.2099483197683128;0.7900516802316873
BA;CACHOEIRA;262946.31;14.18;0.00005392735878286332;0.9999460726412172
MG;CACHOEIRA DE MINAS;100521.23;19.7;0.00019597850125789348;0.9998040214987421
MG;CACHOEIRA DE PAJEU;79682.91;22344.41;0.28041659121134005;0.7195834087886599
PA;CACHOEIRA DO ARARI;176262.25;1992.91;0.011306504937954667;0.9886934950620453
RS;CACHOEIRA DO SUL;579377.13;0;0;1
PB;CACHOEIRA DOS INDIOS;92769.45;59774.97;0.6443389499452675;0.3556610500547325
MA;CACHOEIRA GRANDE;76045.45;38315.94;0.5038557862436215;0.4961442137563785
SP;CACHOEIRA PAULISTA;255501.27;38.81;0.00015189748371896548;0.9998481025162811
RJ;CACHOEIRAS DE MACACU;415823.02;1.53;0.000003679449973693135;0.9999963205500263
PE;CACHOEIRINHA;170356.8;3952.66;0.023202243761329164;0.9767977562386708
RS;CACHOEIRINHA;885395.11;0;0;1
ES;CACHOEIRO DE ITAPEMIRIM;1423738.57;19189.88;0.01347851382575103;0.986521486174249
PB;CACIMBA DE AREIA;46733.75;12590.49;0.26940893893599377;0.7305910610640063
PB;CACIMBA DE DENTRO;149549.41;53148.4;0.3553902352406472;0.6446097647593527
PB;CACIMBAS;66664.72;814.25;0.012214106651914235;0.9877858933480858
AL;CACIMBINHAS;98564.44;47.05;0.00047735268419320394;0.9995226473158068
RS;CACIQUE DOBLE;52504.52;21.89;0.0004169164864282161;0.9995830835135718
RO;CACOAL;573601.7;36362.31;0.06339296065545133;0.9366070393445487
SP;CACONDE;157311.46;27714.3;0.1761747046273679;0.8238252953726322
BA;CACULE;195158.34;32079.24;0.16437545021135147;0.8356245497886485
BA;CAEM;79534.85;0;0;1
MG;CAETANOPOLIS;100954;31.81;0.0003150940032093825;0.9996849059967906
MG;CAETE;341794.98;3811.2;0.01115054410687951;0.9888494558931205
PE;CAETES;227081.2;48.75;0.00021468091590144846;0.9997853190840985
BA;CAETITE;389792.52;615.18;0.0015782242306753346;0.9984217757693247
BA;CAFARNAUM;159154.2;14776.47;0.09284373268188963;0.9071562673181104
PR;CAFEARA;43922.91;0;0;1
SP;CAFELANDIA;150357.5;30305.34;0.20155522670967527;0.7984447732903247
PR;CAFEZAL DO SUL;50260.52;54.16;0.001077585349296028;0.998922414650704
SP;CAIABU;48387.72;48710.36;10.066.678.074.519.700;0
RS;CAIBATE;51254.18;14.55;0.00028387928555290517;0.999716120714447
SC;CAIBI;56814.29;57193.12;1.006.667.864.722.060;0
PB;CAICARA;66824.58;24.45;0.0003658833321511336;0.9996341166678488
RS;CAICARA;50666.11;1717.49;0.03389820138155465;0.9661017986184454
RN;CAICARA DO NORTE;63124.19;0.46;0.000007287222220197994;0.9999927127777798
RN;CAICARA DO RIO DO VENTO;46766.97;19707.15;0.42139035306328376;0.5786096469367162
RN;CAICO;490895.49;55044.86;0.11213152518471906;0.887868474815281
SP;CAIEIRAS;701625.21;172773.93;0.24624817856815606;0.7537518214318439
BA;CAIRU;157642.39;1421.81;0.009019211139846332;0.9909807888601536
SP;CAIUA;57996.52;11.8;0.00020346048349107845;0.9997965395165089
SP;CAJAMAR;544475.16;244168.64;0.44844771247231924;0.5515522875276808
PB;CAJAZEIRAS;456787.68;22399.77;0.049037596635706115;0.9509624033642938
PI;CAJAZEIRAS DO PIAUI;41661.29;19579.34;0.4699648042583415;0.5300351957416585
PB;CAJAZEIRINHAS;43942.2;44236.89;1.006.706.309.652.220;0
AL;CAJUEIRO;176263.37;22487.63;0.12757971210921476;0.8724202878907852
MG;CAJURI;48709.8;49034.59;10.066.678.573.921.400;0
SP;CAJURU;206466.95;45.26;0.0002192118399579206;0.9997807881600421
PE;CALCADO;99105.67;99768.53;10.066.884.165.154.200;0
AP;CALCOENE;80651.86;199.58;0.002474586450951038;0.997525413549049
MG;CALDAS;125915.59;4164.69;0.033075253032607;0.966924746967393
PB;CALDAS BRANDAO;60048.22;60452.9;10.067.392.505.556.300;0
GO;CALDAS NOVAS;630660.6;30487.16;0.048341627810584646;0.9516583721894154
BA;CALDEIRAO GRANDE;120979.74;47359.57;0.39146695140855814;0.6085330485914419
PR;CALIFORNIA;76100.21;76610.57;10.067.064.203.896.400;0
SC;CALMON;40816.76;41088.92;10.066.678.491.874.400;0
PE;CALUMBI;59828.5;107.43;0.0017956325162756881;0.9982043674837243
BA;CAMACAN;254485.09;15155.58;0.05955390156649256;0.9404460984335075
BA;CAMACARI;1987403.48;8844.84;0.0044504500917951495;0.9955495499082049
