UF;MUNICIPIOS;TRANSFERIDO;SALDO_CONTA;PORCENT_SALDO;PORCENT_EXECUTADO
SP;CAMPOS NOVOS PAULISTA;52806.74;53166.9;10.068.203.414.942.800;0
CE;CAMPOS SALES;218871.2;37.43;0.0001710138200000731;0.9998289861799999
PE;CAMUTANGA;75820.81;0;0;1
MG;CANA VERDE;57936.07;12.51;0.0002159276595737336;0.9997840723404263
MG;CANAA;51998.37;52347.09;10.067.063.640.648.700;0
PA;CANAA DOS CARAJAS;265821.5;67476.53;0.2538415064244239;0.7461584935755761
MT;CANABRAVA DO NORTE;47487.58;47801.61;10.066.128.869.906.600;0
SP;CANANEIA;104208.22;734.67;0.00705001966255637;0.9929499803374436
AL;CANAPI;156040.93;157085.35;10.066.932.438.815.800;0
MG;CANAPOLIS;103963.95;12.05;0.00011590556149511442;0.9998840944385049
MT;CANARANA;164018.06;32.12;0.0001958320931243791;0.9998041679068757
BA;CANAVIEIRAS;249409.49;78581.04;0.31506836407868843;0.6849316359213116
BA;CANDEAL;74093.29;13400.07;0.18085402875213127;0.8191459712478687
BA;CANDEIAS;622891.89;627052.05;10.066.787.833.760.300;0
MG;CANDEIAS;128233.58;29.72;0.00023176456588048152;0.9997682354341195
RO;CANDEIAS DO JAMARI;195526.4;142516.9;0.7288882728879579;0.2711117271120421
RS;CANDELARIA;241971.14;243582.89;10.066.609.183.227.300;0
BA;CANDIBA;126661.3;90.25;0.0007125301887790508;0.999287469811221
MA;CANDIDO MENDES;159604.26;0;0;1
SP;CANDIDO MOTA;243814.27;49187.63;0.20174221139722462;0.7982577886027754
SP;CANDIDO RODRIGUES;40406.08;31114.15;0.770036341065503;0.229963658934497
BA;CANDIDO SALES;206659.84;73.01;0.0003532858633781968;0.9996467141366218
RS;CANDIOTA;78304.97;324.32;0.004141754986943996;0.995858245013056
RS;CANELA;335530.93;113.24;0.00033749496655941674;0.9996625050334406
SC;CANELINHA;98832.27;16.1;0.00016290225854369227;0.9998370977414563
RN;CANGUARETAMA;264316.41;10675.66;0.04038969808949812;0.9596103019105019
RS;CANGUCU;406464.14;10648.08;0.026196849739315256;0.9738031502606848
SE;CANHOBA;47882.36;48201.63;10.066.677.999.998.300;0
PE;CANHOTINHO;204612.88;5926.26;0.028963279339990718;0.9710367206600092
CE;CANINDE;555277.32;4442.8;0.008001047116421035;0.991998952883579
SE;CANINDE DE SAO FRANCISCO;229040.79;0;0;1
SP;CANITAR;54239.79;54601.46;10.066.679.830.434.400;0
RS;CANOAS;2180599.9;617.02;0.00028295883164995104;0.99971704116835
SC;CANOINHAS;390204.16;70568.45;0.18085007089622007;0.8191499291037799
BA;CANSANCAO;270733.84;272558.4;1.006.739.312.676.980;0
RR;CANTA;125041.7;12354.47;0.09880279938612478;0.9011972006138752
PR;CANTAGALO;112260.45;0;0;1
RJ;CANTAGALO;158440.75;1766.31;0.01114807901376382;0.9888519209862362
MA;CANTANHEDE;169977.96;42236.65;0.2484830974556937;0.7515169025443063
PI;CANTO DO BURITI;163645.32;1597.56;0.009762332341676498;0.9902376676583236
BA;CANUDOS;149054.4;103886.11;0.6969677513713114;0.3030322486286886
PA;CAPANEMA;475239.12;112.83;0.00023741732372537007;0.9997625826762746
PR;CAPANEMA;163529.18;115816.78;0.7082331116685108;0.2917668883314892
SP;CAPAO BONITO;350659.42;11597.58;0.03307363024783421;0.9669263697521658
RS;CAPAO BONITO DO SUL;33030;33252.6;1.006.739.327.883.740;0
RS;CAPAO DA CANOA;389358.99;8262.84;0.02122164946030911;0.9787783505396909
RS;CAPAO DO LEAO;199790.11;201150.58;10.068.094.962.258.100;0
MG;CAPARAO;56994.04;0;0;1
AL;CAPELA;152221.39;27281.94;0.17922540321041608;0.8207745967895839
SE;CAPELA;261998.25;124735.8;0.47609401971196375;0.5239059802880363
RS;CAPELA DE SANTANA;99618.41;84195.33;0.8451784163188311;0.15482158368116894
SP;CAPELA DO ALTO;167135.46;117938.49;0.7056461268003811;0.2943538731996189
BA;CAPELA DO ALTO ALEGRE;102367;26117.99;0.2551407191770786;0.7448592808229214
MG;CAPELINHA;293561.39;103.17;0.0003514426743925691;0.9996485573256074
MG;CAPETINGA;65455.26;15.63;0.00023878905988609624;0.9997612109401139
PB;CAPIM;62954.27;5986.82;0.0950979179013592;0.9049020820986408
MG;CAPIM BRANCO;81635.5;47.15;0.0005775673573384128;0.9994224326426616
BA;CAPIM GROSSO;246914.52;52.12;0.00021108519660974171;0.9997889148033903
MG;CAPINOPOLIS;135581.48;39793.12;0.29349967266915805;0.7065003273308419
SC;CAPINZAL;173873.42;63.83;0.00036710613962732193;0.9996328938603727
MA;CAPINZAL DO NORTE;92027.89;1687.01;0.018331507980895792;0.9816684920191042
CE;CAPISTRANO;154661.06;0;0;1
RS;CAPITAO;39327.39;3027.44;0.07698044543510262;0.9230195545648974
MG;CAPITAO ANDRADE;57165.32;57554.27;10.068.039.503.671.100;0
PI;CAPITAO DE CAMPOS;93000;1.13;0.000012150537634408602;0.9999878494623656
MG;CAPITAO ENEAS;130220.42;13328.01;0.10234961613547246;0.8976503838645276
PI;CAPITAO GERVASIO OLIVEIRA;44750.03;0;0;1
PR;CAPITAO LEONIDAS MARQUES;135379.86;2427.86;0.017933686738928527;0.9820663132610715
PA;CAPITAO POCO;384413.19;93.54;0.000243331921050888;0.9997566680789491
MG;CAPITOLIO;75228.9;4299.12;0.057147186785929345;0.9428528132140707
SP;CAPIVARI;408000;72229.67;0.1770335049019608;0.8229664950980392
SC;CAPIVARI DE BAIXO;192661.18;22872.9;0.11872085492261597;0.881279145077384
RS;CAPIVARI DO SUL;50192.24;2.44;0.00004861309238240812;0.9999513869076176
PE;CAPOEIRAS;168461.31;40.18;0.00023851173898623964;0.9997614882610137
RR;CARACARAI;145543.9;146515.96;10.066.788.096.237.600;0
PI;CARACOL;90778.75;22.14;0.00024388967682414662;0.9997561103231759
SP;CARAGUATATUBA;832500;295691.12;0.3551845285285285;0.6448154714714716
MG;CARAI;195767.76;20628.89;0.10537429656445985;0.8946257034355402
BA;CARAIBAS;78049.86;78574.58;1.006.722.882.014.130;0
PR;CARAMBEI;188027.91;0;0;1
MG;CARANDAI;206135.9;126991.89;0.6160590658880865;0.38394093411191355
MG;CARANGOLA;257599.06;20.83;0.0000808620963135502;0.9999191379036865
RJ;CARAPEBUS;129126.53;8.93;0.00006915697339655917;0.9999308430266034
SP;CARAPICUIBA;2490949.1;921.79;0.0003700557349806947;0.9996299442650193
MG;CARATINGA;655345.74;251.93;0.00038442303752520007;0.9996155769624748
AM;CARAUARI;210869.24;42.72;0.00020259000316973685;0.9997974099968303
PB;CARAUBAS;49474.19;49807.61;10.067.392.715.272.300;0
RN;CARAUBAS;168468.87;28.01;0.00016626217057192822;0.9998337378294281
PI;CARAUBAS DO PIAUI;54844.13;55215.72;10.067.753.832.543.200;0
BA;CARAVELAS;179587.89;17085.71;0.0951384305478504;0.9048615694521496
RS;CARAZINHO;448948.21;185291.41;0.41272335176478375;0.5872766482352163
MG;CARBONITA;79442.94;12938.36;0.16286355968195537;0.8371364403180446
SP;CARDOSO;102985.38;21.86;0.00021226313870959158;0.9997877368612904
RJ;CARDOSO MOREIRA;102058.84;29.33;0.00028738323892374244;0.9997126167610763
MG;CAREACU;64524.07;13440.15;0.20829668680230493;0.791703313197695
AM;CAREIRO;279630.2;1125.1;0.004023528216909332;0.9959764717830907
ES;CARIACICA;2407548.83;327364.54;0.1359742057651225;0.8640257942348775
CE;CARIDADE;182117.22;143188.96;0.7862461331223922;0.21375386687760778
PI;CARIDADE DO PIAUI;50000;12.76;0.00025519999999999997;0.9997448
BA;CARINHANHA;228546.5;230070.42;10.066.678.772.153.500;0
SE;CARIRA;176072.14;144823.89;0.8225258692261025;0.1774741307738975
CE;CARIRE;158714.69;44.94;0.00028314959377736236;0.9997168504062226
TO;CARIRI DO TOCANTINS;45045.73;15123.43;0.3357350408129694;0.6642649591870307
CE;CARIRIACU;216239.2;217711.69;10.068.095.423.956.400;0
CE;CARIUS;160147.73;161235.84;10.067.944.141.325.000;0
MT;CARLINDA;86045.6;25466.98;0.29597074109541915;0.7040292589045809
PR;CARLOPOLIS;127043.02;68519.61;0.5393417914655996;0.4606582085344004
RS;CARLOS BARBOSA;225000;3504.29;0.015574622222222221;0.9844253777777778
MG;CARLOS CHAGAS;159440.04;67422.87;0.4228728868858788;0.5771271131141211
RJ;CARMO;151149.94;16.76;0.00011088327259673409;0.9998891167274032
MG;CARMO DA CACHOEIRA;104078.14;104785.29;1.006.794.414.273.730;0
MG;CARMO DA MATA;100114.89;21.95;0.00021924810585118756;0.9997807518941488
MG;CARMO DE MINAS;128079.42;19.47;0.00015201505440920953;0.9998479849455908
MG;CARMO DO CAJURU;180227.7;11544.26;0.06405374978430063;0.9359462502156993
MG;CARMO DO PARANAIBA;242349.44;0;0;1
MG;CARMO DO RIO CLARO;173072.11;57.42;0.00033176922613354634;0.9996682307738665
SE;CARMOPOLIS;136634.59;39510.81;0.28917135843859154;0.7108286415614085
PE;CARNAIBA;165623.77;35369.9;0.21355569916081493;0.786444300839185
RN;CARNAUBA DOS DANTAS;72436.11;55.82;0.0007706101280148809;0.9992293898719852
RN;CARNAUBAIS;95738.4;20.38;0.00021287174216406374;0.9997871282578359
CE;CARNAUBAL;153907.43;154952.46;10.067.899.905.807.000;0
AL;CARNEIROS;79275.75;0.49;0.000006180956976124477;0.9999938190430239
RR;CAROEBE;68238.74;12.45;0.00018244768294373544;0.9998175523170563
MA;CAROLINA;180000;0;0;1
PE;CARPINA;603535.56;8896.37;0.014740423911393059;0.9852595760886069
PB;CARRAPATEIRA;40893.42;41166.09;10.066.678.208.865.800;0
TO;CARRASCO BONITO;43406.8;10.78;0.00024834818507699254;0.999751651814923
PE;CARUARU;2330000;5470.39;0.00234780686695279;0.9976521931330472
MA;CARUTAPERA;187725.65;59082.72;0.31472907405034956;0.6852709259496504
MG;CARVALHOPOLIS;46380.39;6052.74;0.13050213678668937;0.8694978632133106
SP;CASA BRANCA;230522.57;50.89;0.00022075929484909005;0.9997792407051509
MG;CASA GRANDE;38832.66;12.28;0.0003162286590720285;0.999683771340928
BA;CASA NOVA;527659.18;531238.78;10.067.839.244.263.600;0
RS;CASCA;75147.72;5.89;0.00007837895813738593;0.9999216210418627
MG;CASCALHO RICO;43502.63;0;0;1
CE;CASCAVEL;525280.51;189.14;0.00036007427726568415;0.9996399257227343
PR;CASCAVEL;2106359.87;514639.11;0.244326298335716;0.755673701664284
TO;CASEARA;50680.38;17.13;0.00033800062272619106;0.9996619993772738
RJ;CASIMIRO DE ABREU;324377.52;6704.07;0.020667492617860817;0.9793325073821392
PE;CASINHAS;126878.05;39596.71;0.3120847932325568;0.6879152067674432
PB;CASSERENGUE;68349.58;619.92;0.0090698435893827;0.9909301564106173
MG;CASSIA;153176.9;1236.13;0.008069950495146463;0.9919300495048535
SP;CASSIA DOS COQUEIROS;38864.56;39121.57;10.066.129.656.427.300;0
MS;CASSILANDIA;176653.92;92932.83;0.5260728434444024;0.4739271565555976
PA;CASTANHAL;1381551.61;24148.66;0.017479375960482574;0.9825206240395175
ES;CASTELO;288116.99;56.05;0.0001945390308291087;0.9998054609691709
PI;CASTELO DO PIAUI;155248.7;3574.5;0.02302434738583962;0.9769756526141604
SP;CASTILHO;168848.23;64.77;0.00038359892786557487;0.9996164010721345
PR;CASTRO;525864.88;0;0;1
BA;CASTRO ALVES;212823;5903.46;0.02773882522095826;0.9722611747790417
MG;CATAGUASES;541337.62;1444.77;0.0026688889643398514;0.9973311110356602
GO;CATALAO;747234.02;436.97;0.0005847833320008637;0.9994152166679992
SP;CATANDUVA;834356.46;222456.89;0.2666209236277742;0.7333790763722259
PR;CATANDUVAS;94400.81;0;0;1
SC;CATANDUVAS;90960.14;29088.99;0.3197993098955213;0.6802006901044787
MG;CATAS ALTAS;56639;26825.92;0.47362983103515244;0.5263701689648476
MG;CATAS ALTAS DA NORUEGA;46734.06;13.36;0.0002858728730180943;0.9997141271269819
PE;CATENDE;325885.55;10841.81;0.033268765675556956;0.9667312343244431
SP;CATIGUA;69015.53;69483.92;10.067.867.333.627.600;0
PB;CATINGUEIRA;53870.31;54232.01;10.067.142.735.952.300;0
PB;CATOLE DO ROCHA;234392.56;107764.45;0.4597605401809682;0.5402394598190319
BA;CATU;411123.85;198181.88;0.4820490954246513;0.5179509045753488
RS;CATUIPE;73680.42;19.85;0.0002694067161940717;0.999730593283806
MG;CATUJI;61978.28;29;0.00046790585346995754;0.99953209414653
CE;CATUNDA;94638.54;29.3;0.0003095990280492493;0.9996904009719507
PB;CATURITE;53413.57;53772.2;1.006.714.211.388.600;0
MG;CATUTI;54413.42;14.97;0.0002751159548508438;0.9997248840451491
CE;CAUCAIA;2352309.44;38158.77;0.01622183261739578;0.9837781673826043
GO;CAVALCANTE;79043.32;79571.23;10.066.787.427.451.100;0
MG;CAXAMBU;175534.63;82146.58;0.46797933832201655;0.5320206616779835
SC;CAXAMBU DO SUL;42506.72;7;0.0001646798435635589;0.9998353201564364
MA;CAXIAS;1228146.4;139869.18;0.11388640637630823;0.8861135936236918
RS;CAXIAS DO SUL;3118585.49;19331.16;0.006198694908953738;0.9938013050910462
RN;CEARA MIRIM;531125.42;351550.83;0.6618979562303758;0.33810204376962416
MA;CEDRAL;90549.18;91152.95;1.006.667.868.223.650;0
SP;CEDRAL;77197;14.31;0.00018536989779395572;0.9998146301022061
CE;CEDRO;208200.47;209615.08;10.067.944.611.268.100;0
PE;CEDRO;103409.5;104099.02;1.006.667.859.335.940;0
SE;CEDRO DE SAO JOAO;58666.78;59062.15;1.006.739.248.344.630;0
MG;CEDRO DO ABAETE;32592.36;8.41;0.0002580359323473354;0.9997419640676527
PR;CENTENARIO DO SUL;98043.3;0;0;1
BA;CENTRAL;152468.58;0;0;1
MA;CENTRAL DO MARANHAO;71718.58;72198.27;10.066.885.038.716.600;0
MG;CENTRALINA;93687.16;26.29;0.0002806147608701128;0.9997193852391298
RO;CEREJEIRAS;130161.56;106893.12;0.8212341646796488;0.17876583532035117
GO;CERES;173918.62;96120.97;0.5526778558845511;0.4473221441154489
SP;CERQUEIRA CESAR;163019.09;164107.86;10.066.787.883.554.000;0
SP;CERQUILHO;360999.02;9170.24;0.025402395829218594;0.9745976041707815
RS;CERRITO;58301.77;0;0;1
RS;CERRO BRANCO;50369.23;413.91;0.008217516924519195;0.9917824830754808
RN;CERRO CORA;98135.37;98800.32;1.006.775.844.427.950;0
RS;CERRO GRANDE;36781.03;37027.04;1.006.688.502.198.000;0
RS;CERRO GRANDE DO SUL;101325.5;0;0;1
RS;CERRO LARGO;120001.22;18.66;0.00015549841909940582;0.9998445015809005
SC;CERRO NEGRO;39549.28;39814.51;10.067.063.167.774.400;0
SP;CESARIO LANGE;152532.75;0.01;6,56E+07;0.9999999344403088
PE;CHA DE ALEGRIA;113178.02;113933.91;10.066.787.703.124.600;0
PE;CHA GRANDE;177881.7;60.45;0.0003398325966077455;0.9996601674033923
AL;CHA PRETA;69170.38;11883.35;0.1717982465905204;0.8282017534094797
RS;CHAPADA;76506.54;25.2;0.0003293836056368515;0.9996706163943632
TO;CHAPADA DA NATIVIDADE;39056.36;0;0;1
MG;CHAPADA DO NORTE;130916.96;131791.33;10.066.788.138.068.500;0
MT;CHAPADA DOS GUIMARAES;153587.12;37165.91;0.24198585141774911;0.7580141485822509
MG;CHAPADA GAUCHA;121348.13;0;0;1
MS;CHAPADAO DO SUL;203940.97;148537.06;0.7283335957458671;0.2716664042541329
MA;CHAPADINHA;551097.56;115.66;0.0002098720959679081;0.9997901279040321
SC;CHAPECO;1447313.37;149419.37;0.10323912781929181;0.8967608721807082
RS;CHARQUEADAS;303638.11;15841.58;0.0521725681931033;0.9478274318068967
RS;CHARRUA;42307.38;17433.97;0.4120786964354683;0.5879213035645316
CE;CHAVAL;110207.88;0;0;1
SP;CHAVANTES;103511.68;104201.89;10.066.679.431.731.700;0
PA;CHAVES;175978.79;177160.35;10.067.142.182.305.000;0
RS;CHIAPETTA;45031.01;18.33;0.0004070528287062626;0.9995929471712938
PR;CHOPINZINHO;164271.4;122829.66;0.7477239495128185;0.2522760504871815
CE;CHORO;112788.49;23185.04;0.20556211010538397;0.7944378898946161
CE;CHOROZINHO;169082.83;9120.71;0.05394226013368714;0.9460577398663128
BA;CHORROCHO;99726.33;0;0;1
RS;CHUVISCA;54651.23;18561.18;0.3396296844554093;0.6603703155445907
PR;CIANORTE;598507.36;100394.02;0.16774066069964455;0.8322593393003554
BA;CICERO DANTAS;257493.9;164362.47;0.6383159756405881;0.36168402435941194
PR;CIDADE GAUCHA;108463.75;0;0;1
GO;CIDADE OCIDENTAL;509825.34;15844.26;0.031077819709785313;0.9689221802902147
RS;CIDREIRA;132110.71;0;0;1
BA;CIPO;151000;27199.34;0.18012807947019868;0.8198719205298013
MG;CIPOTANEA;64695.92;65127.31;1.006.667.962.987.460;0
RS;CIRIACO;50688.95;10078.73;0.19883485453930294;0.8011651454606971
MG;CLARAVAL;53534.18;7.92;0.0001479428656607797;0.9998520571343392
MG;CLARO DOS POCOES;69057.21;44364.95;0.6424376252675136;0.3575623747324864
MT;CLAUDIA;96573.6;60;0.0006212878053629563;0.999378712194637
MG;CLAUDIO;217923.74;20023.8;0.09188443627114697;0.908115563728853
BA;COARACI;150909.93;12881.71;0.08536025429208005;0.91463974570792
PI;COCAL;208440.26;209852.54;1.006.775.466.505.360;0
PI;COCAL DE TELHA;49266.11;13966.19;0.28348473220231923;0.7165152677976807
SC;COCAL DO SUL;131443.34;27.16;0.00020662895510719677;0.9997933710448929
PI;COCAL DOS ALVES;56470.76;6622.6;0.11727485162232631;0.8827251483776737
GO;COCALZINHO DE GOIAS;162779.72;142147.48;0.873250549884224;0.12674945011577599
BA;COCOS;161095.38;4263.08;0.02646308044339943;0.9735369195566006
MA;CODO;827251.3;7457.76;0.009015108226484504;0.9909848917735155
MA;COELHO NETO;356245.89;0;0;1
MG;COIMBRA;69086.39;69548.47;10.066.884.374.766.100;0
AL;COITE DO NOIA;97623.32;98274.26;10.066.678.740.284.500;0
PI;COIVARAS;44293.29;44588.63;10.066.678.271.133.100;0
PA;COLARES;96043.31;5353.69;0.05574245618981686;0.9442575438101831
ES;COLATINA;838830.58;387572.45;0.46203900911671586;0.5379609908832841
MT;COLIDER;245330.48;44.28;0.00018049122962625761;0.9998195087703737
SP;COLINA;154359.74;106089.77;0.6872891208549587;0.31271087914504125
MA;COLINAS;301000;0;0;1
RS;COLINAS;37505.91;5041.09;0.13440788398415077;0.8655921160158493
GO;COLINAS DO SUL;42920.4;43203.47;1.006.595.232.104.080;0
TO;COLINAS DO TOCANTINS;255200;256933.94;10.067.944.357.366.700;0
MT;COLNIZA;281502.01;283389.88;1.006.706.417.478.150;0
SP;COLOMBIA;59914.33;60316.14;1.006.706.408.967.600;0
PR;COLOMBO;1622619.88;1005077.13;0.6194162553955644;0.38058374460443556
PI;COLONIA DO PIAUI;65052.41;65486.17;1.006.667.854.426.910;0
AL;COLONIA LEOPOLDINA;178741.22;3075.75;0.017207838236753672;0.9827921617632464
PR;COLORADO;200493.71;179690.83;0.8962417324713079;0.1037582675286921
MG;COLUNA;76604.83;51953.99;0.6782077579181365;0.3217922420818635
TO;COMBINADO;47729.11;0.04;8,38E+08;0.9999991619370233
MG;COMERCINHO;65506.64;10276.18;0.15687234149087786;0.8431276585091221
PB;CONCEICAO;159797.5;11520.26;0.07209286753547459;0.9279071324645254
MG;CONCEICAO DA APARECIDA;93356.02;11748.97;0.1258512305901644;0.8741487694098355
ES;CONCEICAO DA BARRA;242969.36;39790.72;0.16376846858385766;0.8362315314161424
MG;CONCEICAO DA BARRA DE MINAS;48000;48320.58;100.667.875;0
BA;CONCEICAO DA FEIRA;182813.66;184054.97;10.067.900.287.101.000;0
MG;CONCEICAO DAS ALAGOAS;219790.25;96700.93;0.43996915240780693;0.5600308475921931
MG;CONCEICAO DE IPANEMA;52061.18;7615.3;0.1462759776094203;0.8537240223905798
BA;CONCEICAO DO ALMEIDA;152360.1;77412.93;0.5080918823235216;0.49190811767647835
PA;CONCEICAO DO ARAGUAIA;340889.05;303909.68;0.8915208042030097;0.10847919579699028
PI;CONCEICAO DO CANINDE;48763.29;13.17;0.0002700802181313033;0.9997299197818686
ES;CONCEICAO DO CASTELO;105450.03;18771.27;0.1780110446625762;0.8219889553374238
BA;CONCEICAO DO COITE;488092.42;140755.28;0.2883783362175549;0.7116216637824451
BA;CONCEICAO DO JACUIPE;261136.46;182121.37;0.697418391901307;0.30258160809869294
MA;CONCEICAO DO LAGO ACU;129704.98;130571.25;10.066.787.720.872.300;0
MG;CONCEICAO DO MATO DENTRO;153759.25;35600.62;0.23153481823044794;0.768465181769552
MG;CONCEICAO DO PARA;57387.98;57770.64;10.066.679.468.418.200;0
MG;CONCEICAO DO RIO VERDE;121107.18;23.58;0.0001947035675341462;0.9998052964324659
TO;CONCEICAO DO TOCANTINS;40000;8.98;0.0002245;0.9997755
MG;CONCEICAO DOS OUROS;101040.77;50395.93;0.49876826948171515;0.5012317305182848
SP;CONCHAL;217217.45;218674.2;10.067.064.133.199.200;0
SP;CONCHAS;151094;88997.29;0.589019352191351;0.41098064780864896
SC;CONCORDIA;520241.15;59245.44;0.11388072627472856;0.8861192737252714
PA;CONCORDIA DO PARA;244219.61;6239.36;0.02554815315608767;0.9744518468439123
PB;CONDADO;63701.63;6060.92;0.09514544604274648;0.9048545539572536
PE;CONDADO;213846.97;12649.32;0.0591512706492872;0.9408487293507128
BA;CONDE;210359.43;904.92;0.00430178005331161;0.9956982199466884
PB;CONDE;200844.54;81.46;0.00040558732639682407;0.9995944126736032
BA;CONDEUBA;152338.5;71728.68;0.47085063854508213;0.5291493614549179
RS;CONDOR;62141.87;15.39;0.000247659106492933;0.9997523408935071
MG;CONFINS;64370.49;64870.25;10.077.638.060.546.000;0
MT;CONFRESA;231028.61;163155.26;0.7062123604518074;0.29378763954819265
PB;CONGO;53037.16;53398.38;10.068.106.965.003.400;0
MG;CONGONHAL;102822.09;8078.97;0.07857231845802785;0.9214276815419722
MG;CONGONHAS;407787.53;80.35;0.00019703888444063013;0.9998029611155593
MG;CONGONHAS DO NORTE;54749.84;44.83;0.0008188151782726671;0.9991811848217274
MG;CONQUISTA;65563.74;0;0;1
MG;CONSELHEIRO LAFAIETE;881188.19;175.24;0.0001988678491026985;0.9998011321508973
MG;CONSELHEIRO PENA;182756.93;56.66;0.00031002928315768927;0.9996899707168423
RS;CONSTANTINA;80171.08;55558.7;0.6930017657239992;0.3069982342760008
MG;CONTAGEM;4029759.63;45417.89;0.011270620128774281;0.9887293798712257
PR;CONTENDA;160446.15;107180.14;0.6680131620484505;0.3319868379515495
BA;CONTENDAS DO SINCORA;50159.79;516.02;0.010287523133569737;0.9897124768664303
MG;COQUEIRAL;78238.45;16.6;0.00021217189246463858;0.9997878281075354
AL;COQUEIRO SECO;60801.13;50.17;0.0008251491378531945;0.9991748508621469
MG;CORACAO DE JESUS;212421.87;213869.01;10.068.125.753.718.200;0
BA;CORACAO DE MARIA;191932.57;39731.9;0.20700968053520047;0.7929903194647996
PR;CORBELIA;151806.48;10639.83;0.07008811481565214;0.9299118851843479
RJ;CORDEIRO;162000;113354.44;0.6997187654320988;0.30028123456790123
SP;CORDEIROPOLIS;197111.58;4.3;0.000021815055208831464;0.9999781849447912
BA;CORDEIROS;76125.8;7068.5;0.09285288299104902;0.907147117008951
MG;CORDISBURGO;76702.64;19.58;0.00025527152650808366;0.9997447284734919
MG;CORDISLANDIA;46146.31;1015.35;0.022002842697498456;0.9779971573025016
CE;COREAU;185480.02;159582.92;0.8603779533774043;0.1396220466225957
PB;COREMAS;131000;40.4;0.0003083969465648855;0.9996916030534351
MS;CORGUINHO;59651.86;0;0;1
BA;CORIBE;125947.64;126789.26;10.066.823.006.766.900;0
MG;CORINTO;196030.39;8740.83;0.0445891578341501;0.9554108421658499
PR;CORNELIO PROCOPIO;363736.13;43125.12;0.118561551749066;0.881438448250934
MG;COROACI;91637.51;92247.9;10.066.609.186.565.600;0
MA;COROATA;461602.6;464685.55;10.066.787.968.698.600;0
MG;COROMANDEL;220255.07;0;0;1
RS;CORONEL BARROS;37968.57;29738.7;0.7832451946438858;0.21675480535611424
RS;CORONEL BICACO;65407.6;173.5;0.0026525969459206575;0.9973474030540793
MG;CORONEL FABRICIANO;765580.73;1860.97;0.0024307952474195635;0.9975692047525805
BA;CORONEL JOAO SA;153000;52.09;0.0003404575163398693;0.9996595424836602
PI;CORONEL JOSE DIAS;48072.86;24170.97;0.502798668521074;0.497201331478926
SC;CORONEL MARTINS;36266.42;9.33;0.00025726277917699074;0.999742737220823
MG;CORONEL MURTA;78598.13;17.51;0.00022277883710464867;0.9997772211628954
PR;CORONEL VIVIDA;172721.2;57.67;0.00033389068626202224;0.999666109313738
MG;CORONEL XAVIER CHAVES;45552.54;9.95;0.00021842909308679602;0.9997815709069132
MG;CORREGO FUNDO;62126.72;16.7;0.00026880543508493607;0.9997311945649151
SC;CORREIA PINTO;102000.89;12.24;0.00011999895295031249;0.9998800010470497
PE;CORRENTES;157950.43;126848.06;0.803087778868345;0.19691222113165496
BA;CORRENTINA;255335.78;40.06;0.00015689144701929358;0.9998431085529808
PE;CORTES;107811.33;15489.31;0.14367052145632558;0.8563294785436744
MS;CORUMBA;773277.6;609.24;0.0007878671255962931;0.9992121328744037
GO;CORUMBA DE GOIAS;94912.58;95547.86;10.066.933.171.556.300;0
SP;CORUMBATAI;47611.26;14119.59;0.29655988940431316;0.7034401105956869
SC;CORUPA;127018.61;25.68;0.00020217509859382022;0.9997978249014062
AL;CORURIPE;425626.25;83.94;0.00019721527983765098;0.9998027847201624
SP;COSMOPOLIS;518503.43;521966.41;1.006.678.798.633.980;0
SP;COSMORAMA;66177.09;25161.22;0.38021043234146445;0.6197895676585355
RO;COSTA MARQUES;141625.9;142576.43;10.067.115.548.780.200;0
MS;COSTA RICA;170282.31;415.89;0.0024423558736077753;0.9975576441263923
SP;COTIA;1624725.72;33418.93;0.020568967173117687;0.9794310328268823
MG;COUTO DE MAGALHAES DE MINAS;51124.85;19889.43;0.3890364470507004;0.6109635529492996
MS;COXIM;260037.29;136484.09;0.5248635301498489;0.4751364698501511
PB;COXIXOLA;36679.94;658.93;0.01796431509975207;0.982035684900248
AL;CRAIBAS;202277.8;203650.61;10.067.867.556.400.100;0
CE;CRATEUS;544291.91;30173.76;0.05543672328328377;0.9445632767167162
CE;CRATO;914488.33;295.52;0.0003231533856752442;0.9996768466143248
SP;CRAVINHOS;266717.1;60.49;0.00022679460746986228;0.9997732053925301
BA;CRAVOLANDIA;57484.86;15.16;0.00026372161296035166;0.9997362783870396
SC;CRICIUMA;1417733.34;407.6;0.0002875011742335128;0.9997124988257665
MG;CRISOLITA;64222.05;4329.15;0.06740909080292516;0.9325909091970749
BA;CRISOPOLIS;174375.27;175544.7;10.067.063.982.180.500;0
RS;CRISSIUMAL;116090.33;27.9;0.00024033009467713633;0.9997596699053228
SP;CRISTAIS PAULISTA;73734.14;29940.85;0.40606495173063656;0.5939350482693635
RS;CRISTAL;69312.78;12.78;0.00018438158157846216;0.9998156184184216
TO;CRISTALANDIA;61642.75;6030.57;0.09783096957874202;0.902169030421258
GO;CRISTALINA;423408.59;75355.44;0.17797333776341193;0.822026662236588
MG;CRISTIANO OTONI;55349.75;55720.95;1.006.706.444.021.870;0
MG;CRISTINA;93070.55;20.09;0.0002158577552190247;0.999784142244781
SE;CRISTINAPOLIS;152047.28;49.03;0.00032246548573575275;0.9996775345142642
PI;CRISTINO CASTRO;87964.05;82.03;0.0009325400547155343;0.9990674599452845
